EIN,NAME,ICO,STREET,CITY,STATE,ZIP,GROUP,SUBSECTION,AFFILIATION,CLASSIFICATION,RULING,DEDUCTIBILITY,FOUNDATION,ACTIVITY,ORGANIZATION,STATUS,TAX_PERIOD,ASSET_CD,INCOME_CD,FILING_REQ_CD,PF_FILING_REQ_CD,ACCT_PD,ASSET_AMT,INCOME_AMT,REVENUE_AMT,NTEE_CD,SORT_NAME
043734817,AG CAROLINA FINANCIAL FLCA,% EUGENE K CHARVILLE,636 ROCK SPRING RD,GREENVILLE,NC,27834-7420,0000,01,3,1000,200403,1,00,000000000,1,01,,0,0,07,0,12,,,,W610,
043734827,INTERNATIONAL BETHEL CHURCH,% REV NELSON GUZMAN PASTOR,4205 ASPEN HILL RD,ROCKVILLE,MD,20853-2805,0000,03,3,7000,200512,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043734836,DISTRICT OF COLUMBIA SOCIETY OF ANESTHESIOLOGISTS INC,% NINA A RAWTANI,905 16TH STREET NW STE 400,WASHINGTON,DC,20006-1703,0000,06,3,1200,200405,2,00,000000000,1,01,202412,4,3,02,0,12,240379,49754,49754,S41,
043735112,LITTLE LEAGUE BASEBALL INC,% JASON WARNER,7 SONNY RD,BERWICK,PA,18603-2448,3158,03,9,1000,196701,1,15,321059000,1,01,202409,4,4,01,0,09,180591,104304,99823,,2381311 BERWICK AREA LL
043735196,ROAD RUNNERS CLUB OF AMERICA,% DANIEL LEHMANN,PO BOX 18,HELVETIA,WV,26224-0018,2702,03,9,1000,197603,2,15,300288000,5,01,202412,3,4,01,0,12,92746,100250,100250,,W VIRGINIA MOUNTAIN TRAIL RUNNERS
043735265,NEW JERUSALEM CHRISTIAN CENTER,% TERESA HAYES PASTOR,1517 BOWMORE PL,MC LEANSVILLE,NC,27301-9248,0000,03,3,7000,200408,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043735266,UNIQUE SPIRIT OF THE LIVING GOD INC,% JANNIE PINKETT PASTOR,58 VERSAILLES CT,NEWARK,DE,19702-5541,0000,03,3,1270,202202,1,10,000000000,1,01,202512,0,0,06,0,12,0,0,0,X20,
043736172,FREEPORT AREA SOCCER ASSOCIATION,% PAULA BERCIK,PO BOX 13,SARVER,PA,16055-0013,0000,03,3,1000,200307,1,16,000000000,1,01,202412,3,3,01,0,12,28225,76834,73765,N80,
043736566,MIDWEST RELIABILITY ORGANIZATION INC,,380 SAINT PETER ST STE 800,SAINT PAUL,MN,55102-1316,0000,03,3,1000,200407,1,15,000000000,1,01,202412,8,8,01,0,12,19353766,24614344,24614344,W80,
043736692,LETS TALK ABOUT IT LETS DO IT COMMUNITY OUTREACH INC,% CHARLES JOHNSON,1375 GERRY ST,GARY,IN,46406-2166,0000,03,3,1270,200305,1,15,000000000,1,01,202512,1,2,02,0,12,5061,11001,11001,G81,
043736753,KINGS MOUNTAIN STUDENT SCHOLARSHIP FUND,% RICKY HALL,122 CHESTNUT RIDGE RD,KINGS MTN,NC,28086-9302,0000,03,3,1000,200305,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,B82,
043737656,CHATHAM 5K RACE,% WILLIAM WIEBKING,PO BOX 655,CHATHAM,VA,24531-0655,0000,03,3,1000,200306,1,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,W12,
043737935,MIDWEST RETT SYNDROME FOUNDATION MRSF,% DANIEL BRINKHAUS,PO BOX 43155,BROOKLYN PARK,MN,55443-0155,0000,03,3,1000,200304,1,04,000000000,1,01,202412,3,4,00,1,12,49228,122235,,T21,
043737965,HIGHER GROUND MINISTRIES,% APOSTLE LINDA D TUCKER,23 KRIS CT,NEWARK,DE,19702-6843,0000,03,3,7120,200411,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
043738239,GRACE FELLOWSHIP,% SCOTT B ADAMS,758 LAKERIDGE CIR,TROUTVILLE,VA,24175-6835,0000,03,3,1000,200303,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
043738397,EAST DUPLIN YOUTH SOCCER INC,% BARTLEY WOOTEN,PO BOX 806,BEULAVILLE,NC,28518-0806,0000,03,3,1200,201507,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,N64,
043738588,JEG MINISTRIES INC,% TAWANNA L GRAY,1506 INDIANA PL,UPPR MARLBORO,MD,20774-6029,0000,03,3,7000,200503,1,10,000000000,1,01,,0,0,06,0,12,,,,X21,
043738742,GREEN BAY TRINITY LUTHERAN SCHOOL,,120 S HENRY ST,GREEN BAY,WI,54302-3405,1709,03,9,7000,194107,1,10,001029000,5,01,201312,0,0,06,0,12,,,,,
043738908,CHAPEL HILL CHRISTIAN CHURCH,,108 BIM ST,CARRBORO,NC,27510-2005,1125,03,9,7000,195105,1,10,000000000,5,01,,0,0,06,0,06,,,,,
043739083,ST MARYS HEALTH WAGON,,5626 PATRIOT DR,WISE,VA,24293-1138,0000,03,3,1000,200406,1,12,000000000,1,01,202412,8,7,01,0,12,17430308,6251038,6251038,E32,
043739179,URBAN FAMILY MINISTRIES,% DAN RINZEMA,543 EASTERN AVE SE,GRAND RAPIDS,MI,49503-5541,0000,03,3,1000,200311,1,15,000000000,1,01,202506,4,4,01,0,06,452246,275137,275137,P20,
043739333,BIRDING DRIVES DAKOTA,% ANN HOFFERT,7060 HIGHWAY 9,CARRINGTON,ND,58421-9001,0000,03,3,1200,200311,1,15,000000000,1,01,202509,0,0,02,0,09,0,0,0,P20,
043739760,SOUTH CAROLINA ATHLETIC ADMINISTRATORS ASSOCIATION,% JOHN CARLISLE,1754 WOODRUFF RD,GREENVILLE,SC,29607-5933,0000,04,3,3000,200504,2,00,000000000,5,01,202512,4,4,01,0,12,274815,258664,258664,B112,
043740017,MINNESOTA CREDIT UNION FOUNDATION INC,% EVE BORENSTEIN,555 WABASHA ST N STE 200,SAINT PAUL,MN,55102-1610,0000,03,3,2000,200705,1,15,000000000,1,01,202412,5,4,01,0,12,506564,482724,448279,T30,
043740196,SPIRITUAL FRUIT FARM,% GREGORYL DONOUGH,541 SICKMANS MILL RD,CONESTOGA,PA,17516-9753,0000,03,3,1270,201504,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,P99,
043740375,SHOW ME LEARNING INC,,PO BOX 82,CRYSTAL BAY,MN,55323-0082,0000,03,3,2000,202407,1,16,000000000,1,01,202412,0,0,02,0,12,0,0,0,B90,
043740445,EMMANUEL CENTER,% BARBARA CAPPS,PO BOX 54525,PHILADELPHIA,PA,19148-0525,0000,03,3,1270,201005,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043740575,SUPERIOR RIVERS WATERSHED ASSOCIATION INC,,PO BOX 875,ASHLAND,WI,54806-0875,0000,03,3,1000,200709,1,15,000000000,1,01,202412,3,4,01,0,12,45951,120296,120296,B11,
043741155,ROYAL THEATRE COMPANY INC,% KAREN KILGORE,308 WEST MAIN STREET,MASON,OH,45040-2248,0000,03,3,2000,200303,1,15,000000000,1,01,202412,3,3,01,0,12,55917,83354,83354,A65,THE CHILDRENS THEATRE OF MASON
043741178,NATIONAL ASSOCIATION OF CORPORATE DIRECTORS,% MICHAEL VEKICH,PO BOX 15061,MINNEAPOLIS,MN,55415-0061,4252,03,9,2000,200311,1,15,000000000,1,01,202512,4,4,01,0,12,164587,263890,263890,B036,MINNESOTA CHAPTER
043742100,DEBRE GUENET ABUNE TEKLEHAIMANOT ETHIOPIAN ORTHODOX TEWAHDO CHURCH,% BEYENECH TSEGAYE,2800 FISHER AVE,COMMERCE TWP,MI,48390-1422,0000,03,3,7000,200305,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043742237,TIDEWATER PEST CONTROL ASSOCIATION,% GEORGE WRIGHT,PO BOX 61972,VIRGINIA BCH,VA,23466-1972,0000,06,3,1000,200409,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,S41,
043742826,JO DAVIESS COUNTY COUNTRY FAIR CHARITIES INC,% COX & WARD PC,612 SPRING ST,GALENA,IL,61036-2010,0000,03,3,1000,200308,1,16,000000000,1,01,202312,3,3,01,0,12,99292,62750,62750,T20,
043743073,MINNESOTA CHAPTER OF THE NORTH AMERICAN ROCK GARDEN SOCIETY,% RICK RODICH,6535 KILLDEER DR,CIRCLE PINES,MN,55014-5409,0000,03,3,2000,200310,1,16,000000000,1,01,202509,0,0,02,0,09,0,0,0,C42,
043743155,MARTIN LUTHER KING DREAM TEAM,% AL RENT,PO BOX 1004,MUNCIE,IN,47308-1004,0000,03,3,2000,201904,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,B01,
043743179,HISTORIC EAST VILLAGE INC,% CAROL WYCOFF,PO BOX 93904,DES MOINES,IA,50393-3904,0000,03,3,1000,202510,1,16,000000000,1,01,202106,0,0,02,0,06,0,0,0,S22,
043743598,VOLUNTEERS FOR ANIMAL WELFARE,% PAULA BROCK,9046 GOBLES CREEK RD,BROOKVILLE,IN,47012-9603,0000,03,3,1000,200312,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,D20,
043743615,EAGLES FASTPITCH SOFTBALL CLUB,,10051 EAST HIGHLAND RD 29185,HOWELL,MI,48843-6317,0000,03,3,1000,201407,1,16,000000000,5,01,202507,3,3,01,0,07,71114,86768,86768,N99,
043744582,FULL VIEW ACADEMY INC,% LANCE NIELSON,8804 W WINDMILL RIDGE ST,SIOUX FALLS,SD,57106-7089,0000,03,3,7100,200409,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,DAVID HONNER
043745524,CHRISTIAN METHODIST EPISCOPAL CHURCH,% JOSEPH LANDRUM,145 LITTLE AFRICA ROAD,CHESNEE,SC,29323-0000,8511,03,9,7000,198009,1,10,001002000,5,01,,0,0,06,0,12,,,,,FAIRVIEW CME CHURCH
043745687,OPEN HEART MINISTRIES,% SEYMOUR JORDAN JR,7228 NATHAN CT,MANASSAS,VA,20109-2435,0000,03,3,7000,200711,1,10,000000000,1,01,,1,3,06,0,12,,,,X20,
043745806,FARRAGUT FIRE AND RESCUE ASSOCIATION,% FARRAGUT FIRE AND RESCUE,PO BOX 60,FARRAGUT,IA,51639-0060,0000,03,3,1000,200309,1,16,000000000,1,01,202606,0,0,02,0,06,0,0,0,M114,
043746145,SHAWNEE YOUTH WRESTLING CLUB,% JOSH HADDING,5024 S DIXIE HWY,CRIDERSVILLE,OH,45806-2107,0000,03,3,2000,202408,1,15,000000000,5,01,202412,0,0,02,0,12,0,0,0,N60,
043746191,CLAYTON JACKSON MCGHIE MEMORIAL INC,% JULIA CHENG,222 E SUPERIOR ST STE 327,DULUTH,MN,55802-2262,0000,03,3,2000,200311,1,15,000000000,1,01,202409,0,0,02,0,09,0,0,0,B82,
043746353,NC DIVAS MOTORCYCLE CLUB,% LITA A WHITE,3 ARTA LN,GREENSBORO,NC,27406-9277,0000,03,3,1200,201112,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,S81,
043746368,SALISBURY VOLUNTEER FIRE DEPARTMENT,,PO BOX 97,SALISBURY,PA,15558-0097,0000,03,3,1000,202601,1,16,000000000,1,01,,0,0,01,0,12,,,,M24,
043746871,LEHIGH VALLEY MILITARY AFFAIRS COUNCIL,% WILLIAM T HARRIS III,640 HAMILTON ST STE 302,ALLENTOWN,PA,18101-2110,0000,03,3,2100,200310,1,15,000000000,1,01,202412,3,3,02,0,12,96279,47993,43480,W30,
043746994,CHICAGO MINISTRY EQUIPPING TRAINING CENTER,% ROSALIND MINOR,55 SAWGRASS DR,BURBANK,IL,60459-3107,0000,03,3,1000,201304,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,O30,
043747164,BETHANY LUTHERAN CHURCH,,PO BOX 98,SHELLY,MN,56581-0098,9386,03,9,7000,198804,1,10,001000000,1,01,,0,0,06,0,12,,,,,
043747180,SOUTH DEKOTA TRACTOR MUSEUM,,PO BOX 24,KIMBALL,SD,57355-0024,0000,03,3,1000,200311,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A50,
043747289,EQT FOUNDATION,% THOMAS QUINLAN,2200 ENERGY DR,CANONSBURG,PA,15317-1000,0000,03,3,1000,200306,1,04,000000000,1,01,202412,8,7,00,1,12,26237393,6875510,,T20,
043747798,JASON PLITE MEMORIAL FUND,% DAWN PETERSON,4265 OLD POND TRL,DIMONDALE,MI,48821-9230,0000,03,3,1000,200310,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,B82,
043747955,EMMANUEL FULL GOSPEL CHURCH,% VERNA J ETHERLY,PO BOX 3040,LISLE,IL,60532-8040,0000,03,3,7000,200308,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043748316,GLASS CITY ACADEMY,,1000 MONROE STREET,TOLEDO,OH,43604-5953,0000,03,3,2000,200507,1,11,000000000,0,01,202506,7,6,01,0,06,5988046,4054372,4054372,,
043748482,THE SPOTSYLVANIANS,,PO BOX 434,SPOTSYLVANIA,VA,22553-0434,0000,03,3,1000,201009,1,15,000000000,1,01,202506,0,0,02,0,06,0,0,0,A6B,
043748499,CHINESE AMERICAN CULTURAL AND EDUCATIONAL FOUNDATION,% JIM WANG,512 N MCCLURG CT APT 4207,CHICAGO,IL,60611-4178,0000,03,3,1280,201411,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,O50,
043749201,FRIENDS OF ECUADOR,% MARY BRADY,335 LYNN COVE RD,ASHEVILLE,NC,28804-1914,0000,03,3,1000,200403,1,15,000000000,1,01,202512,3,4,01,0,12,41921,328181,328181,Q30,
043749543,COLONY CATS,% NANCY A HELLER,PO BOX 163904,COLUMBUS,OH,43216-3904,0000,03,3,1400,201809,1,15,000000000,1,01,202412,4,5,01,0,12,187233,668596,655526,D20,
043749632,TOASTMASTERS INTERNATIONAL,% CARROLL CREEK TOASTMASTERS CLUB,131 CROSSTIMBER WAY,FREDERICK,MD,21702-3080,0820,03,9,2000,194505,1,16,029319000,5,01,202512,0,0,02,0,12,0,0,0,,7174 CARROLL CREEK TOASTMASTERS
043749636,EMMANUEL COMMUNITY DEVELOPMENT CORPORATION,% CHARLES ROACH,63719 GEORGETOWNE W,WASHINGTON,MI,48095-2437,0000,03,3,1000,202310,1,16,000000000,1,01,202502,0,0,02,0,02,0,0,0,L21,
043749735,BEDFORD DOMESTIC VIOLENCE COALITION,% BEDFORD DOMESTIC VIOLENCE COAL,PO BOX 1044,BEDFORD,VA,24523-1044,0000,03,3,1000,201310,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,F42,
043749811,UPPER POTTSGROVE TWP FIRE COMPANY NO 1,% STAN HILDENBRAND,1409 FARMINGTON AVE,POTTSTOWN,PA,19464-1894,0000,03,3,1000,200812,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,M24,
043750042,SHOREWOOD SUPPORTERS OF EXCELLENCE IN EDUCATIONAL DEVELOPMENT FDN INC,% MELISSA NELSEN,PO BOX 71235,MILWAUKEE,WI,53211-7335,0000,03,3,1000,200306,1,16,000000000,1,01,202507,6,5,01,0,07,2885012,978768,958697,B112,
043750441,ON-THE-RISE,% DEBBIE R MCCULLOUGH,4177 DIALTON RD,SPRINGFIELD,OH,45502-9661,0000,03,3,1000,200405,1,15,000000000,1,01,202512,4,4,01,0,12,173151,255280,255280,O52,
043750629,KELLYS LOVING HANDS,% ANTHONY LAURENT,10401 EDGEWOOD AVE,SILVER SPRING,MD,20901-1910,0000,03,3,2000,200309,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,P51,
043750710,SOMERSET AVALON FIRE RESPONSE TEAM INC,% ROBERT C SCHWANER JR,39 MERLIN TOR DR,PAW PAW,WV,25434-9070,0000,03,3,1000,201408,1,15,000000000,5,01,202512,0,0,02,0,12,0,0,0,M24,
043751202,BEGAN AGAIN MINISTRIES,% KIMBERLY WALLER,4715 SHERMAN RD,RICHMOND,VA,23234-4139,3317,03,9,7000,000000,0,10,001000000,1,01,,0,0,06,0,06,,,,,
043751345,LIFE ENRICHMENT CENTER OF NORFOLK,% KEVIN H TURPIN,230 W BUTE ST,NORFOLK,VA,23510-1402,0000,03,3,2700,200402,1,15,000000000,1,01,202512,4,4,01,0,12,219428,431469,380703,B60,
043751467,BLAKELYS TENDER CARE,% DENISE BLAKELY,7076 BRIDGE WAY,W BLOOMFIELD,MI,48322-3527,0000,03,3,1000,200503,1,16,000000000,1,01,202509,3,4,01,0,09,45359,365643,365643,P70,
043751530,LORIS GARDEN CLUB,% WANDA J COX,1009 HWY 9 BUSINESS WEST,LORIS,SC,29569-8319,0000,03,3,1000,202405,1,15,000000000,1,01,202504,0,0,02,0,04,0,0,0,C40,
043751759,FAITH COMMUNITY OUTREACH INC,% TINA BROWN,PO BOX 965,ROBERSONVILLE,NC,27871-0965,0000,03,3,1000,200403,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,P85,
043752485,ALL GODS CHILDREN MINISTRIES,% ELAINE MCPHERSON,2744 LEXINGTON ST,HARRISBURG,PA,17110-2627,0000,03,3,1000,201008,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X21,
043752514,MILWAUKEE BROTHERHOOD OF FIREFIGHTERS ASSOCIATION,% JEFFREY QUEZAIRE,424 N 30TH ST,MILWAUKEE,WI,53208-4209,0000,03,3,1000,199910,1,16,000000000,5,01,202512,0,0,02,0,12,0,0,0,M40,
043752521,U S MILITARY VETS MOTORCYCLE CLUB N ORTHERN VIRGINIA CHAPTER,,4201 ELDORADO DR,WOODBRIDGE,VA,22193-2714,0000,03,3,1000,202604,1,16,000000000,1,01,,0,0,02,0,12,,,,W30,USMV MC
043752590,NORTH OMAHA LOVES JAZZ CULTURAL ARTS AND HUMANITIES COMPLEX INC,% LAFRENGA RITCHARD,3147 AMES AVE,OMAHA,NE,68111-2760,0000,03,3,1200,200512,1,15,000000000,1,01,202412,0,0,02,0,12,0,0,0,A23,
043752596,MICHIGAN STATE UNIVERSITY,% ERIN GRAF,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,WHITE OAK 4-H CLUB
043752598,MICHIGAN STATE UNIVERSITY,% DIEDRA MATTHEWS,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,SANDHILL 4-H CLUB
043752606,MICHIGAN STATE UNIVERSITY,% RONDA PALMATIER,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,WEBBERVILLE 4-H CLUB
043752618,MICHIGAN STATE UNIVERSITY,% MARY SALTMAN,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,NORTHWEST LESLIE 4-H CLUB
043752638,MICHIGAN STATE UNIVERSITY,% DAVID ODANIEL,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,INGHAM SHARPSHOOTERS 4-H CLUB
043752683,MICHIGAN STATE UNIVERSITY,% BONNIE DEPUE,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,GROWING TOGETHER 4-H CLUB
043752686,MICHIGAN STATE UNIVERSITY,% AMY GARCHOW,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,ECHOING HOOFBEATS 4-H CLUB
043752690,MICHIGAN STATE UNIVERSITY,% LYNDSY MORLOCK,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,DANSVILLE 4-LEAF CLOVER 4-H CLUB
043752697,MICHIGAN STATE UNIVERSITY,% DEE PICKEN,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,AURELIUS 4-H CLUB
043752699,MICHIGAN STATE UNIVERSITY,% LINDSEY BROWNLEE,121 E MAPLE ST,MASON,MI,48854-1655,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,BOOTS & SADDLE 4-H CLUB
043752723,REACH OUT MINISTRIES INC,PAUL CAFFEY,2609 STOCKER AVE,YOUNGSTOWN,OH,44505-3942,0000,03,3,7000,198408,0,10,000000000,0,01,,0,0,06,0,12,,,,,
043752825,NEW COVENANT FELLOWSHIP CHURCH INC,% EDWARD TOWNSEND,36941 OLD OCEAN CITY RD,WILLARDS,MD,21874-1365,0000,03,3,7000,200403,1,10,000000000,1,01,,0,0,06,0,03,,,,X20,
043753149,CENTER STAGE PERFORMING ARTS ACADEMY CORPORATION,% EARLISE VAILS SHELTON,4237 MACARTHUR RD,VIRGINIA BCH,VA,23453-1669,0000,03,3,1000,200410,1,16,000000000,1,01,202512,0,0,02,0,12,0,0,0,A20,
043753324,SCOTT COUNTY REGIONAL HORSE ASSOC,% H EUGENE MCCLELLAN,PO BOX 99,NICKELSVILLE,VA,24271-0099,0000,03,3,2100,200510,1,15,000000000,1,01,202512,3,3,02,0,12,30414,39435,39435,A80,
043753362,PATHWAY TO FREEDOM MINISTRIES,% BERNANDINE HUTCHENS,PO BOX 551401,GASTONIA,NC,28055-1401,0000,03,3,7000,200612,1,10,000000000,1,01,,0,0,06,0,12,,,,X20,
043753442,MICHIGAN CAT RESCUE INC,% NANCY HUTCHINSON,PO BOX 806371,ST CLR SHORES,MI,48080-6371,0000,03,3,4000,200308,1,15,000000000,1,01,202412,3,3,01,0,12,39406,80563,80563,D20,
043753476,LEHIGH VALLEY INDUSTRIAL PARK VI OWNERS ASSOCIATION,% FREDRIC JACOBS,203 E EMMAUS AVENUE,ALLENTOWN,PA,18103-5892,0000,04,3,1000,200406,2,00,000000000,1,01,202412,4,3,02,0,12,128866,31763,31763,S22,
043753485,KENTUCKY COLONELS HONORARY CAPTER OF THE N C H A 0 INC,% DUANE D KEEGAN,957 N LOIS AVE,ADDISON,IL,60101-1237,0000,07,3,1000,201201,2,00,000000000,1,01,202512,0,0,02,0,12,0,0,0,N50,
043753649,A PUBLIC SCHOOL OF CHOICE INC,% STEPHANIE LLOYD,PO BOX 86,RUTHERFORDTON,NC,28139-0086,0000,03,3,2000,200309,1,11,000000000,1,01,202506,8,8,01,0,06,12722848,11099822,11099822,B29,ORANGE CHARTER SCHOOL
043753720,LOJEC INC,% DARYL D WYATT,114 WEBSTER ST NE,WASHINGTON,DC,20011-4944,0000,03,3,1000,201501,1,15,000000000,1,01,202312,0,0,02,0,12,0,0,0,O50,
043753749,AMERICAN AFC INC,% MICHAEL T MCGAHAN,22811 COHOON RD,HILLMAN,MI,49746-9180,0000,03,3,1000,200406,1,04,000000000,1,01,202512,1,1,00,1,12,11,4800,,P32,
043754437,OUTSTRETCHED HANDS OF ROMANIA INC,% CYNTHIA ROAZINA,PO BOX 510052,NEW BERLIN,WI,53151-0052,0000,03,3,1000,200407,1,15,000000000,1,01,202412,3,4,01,0,12,79793,395017,395017,Q12,
043754825,ST VINCENT DE PAUL CENTER,,135 WILSON ST,NEWARK,OH,43055-4921,6386,03,9,1000,201807,1,15,000000000,1,01,202509,5,6,01,0,09,796334,1138546,1111314,X20,ST VINCENT DE PAUL CENTER
043754827,PASSION MINISTRIES,% ROBERT D PULLAR,655 NORWOOD LN APT 131,BIG LAKE,MN,55309-2110,0000,03,3,7000,200501,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X20,
043754972,MINNESOTA STATEWIDE LIMITED ENERGY APPRENTICESHIP & TRAINING TR FUND,% BOARD OF TRUSTEES OF THE TRUST FU,452 NORTHCO DR STE 140,FRIDLEY,MN,55432-3309,0000,03,3,2000,200409,1,11,000000000,1,01,202504,6,6,01,0,04,2566938,1886851,1886851,B30,
043755240,MICHIGAN STATE UNIVERSITY,% TIFFANY SPEDOWSKI,14485 NORTHLAND DR,BIG RAPIDS,MI,49307-2368,5933,03,9,2000,201305,1,15,149349000,1,01,202508,0,0,02,0,08,0,0,0,O52,STANWOOD PIONEERS 4-H CLUB
043756489,POLICE OFFICER JOE MCGARRY FOUNDATION,% CPL RETIRED SUZAN GARDNER,229 BONNIE BRIDGE CIR,MYRTLE BEACH,SC,29579-8221,0000,03,3,1200,202408,1,15,000000000,1,01,202505,0,0,02,0,05,0,0,0,P30,
043756499,OMNIAIR CONSORTIUM INC,% KATHLEEN JANAC,201 N UNION ST STE 110,ALEXANDRIA,VA,22314-2663,0000,06,3,2000,200708,2,00,000000000,1,01,202412,4,6,01,0,12,379269,1139875,1139875,S41,
043757001,NORTH AMERICAN COUNCIL OF MG REGISTERS INC,% ANTHONY BURGESS,318 HAMPTON PARK,WESTERVILLE,OH,43081-5723,0000,04,3,3000,201602,2,00,000000000,1,01,202508,0,0,02,0,08,0,0,0,N50,
043757004,WHITE HOUSE VILLAGE RESIDENTS ASSOCIATION,% JOSEPH F FORD,535 GRADYVILLE ROAD,NEWTOWN SQUARE,PA,19073-2812,0000,03,3,1000,200506,1,15,000000000,1,01,202412,4,4,01,0,12,170672,124898,90503,P80,
043757100,OYATE CONCERN INC,% KATHI DYER,6000 LAKESIDE RD BIA-35,OGLALA,SD,57764-0000,0000,03,3,1000,200311,1,16,000000000,1,01,202412,4,4,01,0,12,367393,209360,209360,X20,
043757196,FRIENDS OF TYSONS PIMMIT LIBRARY,% JANELLE BLANCHARD,7584 LEESBURG PIKE,FALLS CHURCH,VA,22043-2003,0000,03,3,1000,200401,1,16,000000000,5,01,202504,4,3,01,0,04,411747,89673,89673,B12,
043757247,HILLCREST BAPTIST CAMP-ASSEMBLY INC,% DAVID L JESTER,100 HILLCREST DR,CAVE IN ROCK,IL,62919-2202,0000,03,3,2000,200309,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,X21,
043757301,EASTWOOD APARTMENTS INC,% BILL ANDERSON,1416 CUMMING AVE,SUPERIOR,WI,54880-3757,0928,03,9,1000,194603,1,15,031150120,5,01,202603,3,3,01,0,03,54964,57276,57276,,
043757307,WINTERHAVEN APARTMENTS INC,% BILL ANDERSON,1416 CUMMING AVE,SUPERIOR,WI,54880-3757,0928,03,9,1700,194603,1,10,031150120,5,01,202603,4,4,01,0,03,121045,147378,147378,,
043757352,ILLINOIS DOBERMAN RESCUE PLUS,% PAMELA ABARE-NEWTON,PO BOX 435,BARRINGTON,IL,60011-0435,0000,03,3,4100,200306,1,15,000000000,1,01,202512,4,4,01,0,12,313707,264969,261260,D20,
043757399,GRACE COMMUNITY CHURCH OF MOUNT UNION,,310 W POPLAR ST,MOUNT UNION,PA,17066-1154,0000,03,3,7000,201002,1,10,000000000,1,01,,0,0,06,0,12,,,,X99,MOUNT UNION
043757726,KNIGHTS OF COLUMBUS,% ROBERT E WARNIMONT,29101 HUFFORD ROAD,PERRYSBURG,OH,43551-2872,0188,08,9,1000,194010,2,00,036029265,5,01,202512,0,0,02,0,12,0,0,0,,2800 MSGR ROBERT J YATES ASSEMBLY
043757757,RAY OF HOPE FOUNDATION,% CATHERINE CLARK,6701 TALLWOOD CT,PROSPECT,KY,40059-9417,0000,03,3,1000,200306,1,04,000000000,2,01,202512,1,1,00,1,12,1,1,,T22,
043757883,PUTTING U IN THE COMMUNITY INCORPORATED,% ERNESTINE BEAN,300 W 21ST AVE,GARY,IN,46407-2511,0000,03,3,1000,200405,1,15,000000000,1,01,202512,0,0,02,0,12,0,0,0,P20,
